"","Date","Open","Close","Adj.Close","Volume","Result","Value"
"137","2010_10_5",21.15,21.120001,21.120001,332000,"High",21.280001
"138","2010_10_5",21.15,21.120001,21.120001,332000,"Low",21.01
"139","2010_10_6",21.059999,20.459999,20.459999,313400,"High",21.26
"140","2010_10_6",21.059999,20.459999,20.459999,313400,"Low",20.32
"141","2010_10_7",20.57,20.43,20.43,141000,"High",20.639999
"142","2010_10_7",20.57,20.43,20.43,141000,"Low",20.34
"143","2010_10_8",20.43,20.43,20.43,267800,"High",20.790001
"144","2010_10_8",20.43,20.43,20.43,267800,"Low",20.389999
"145","2010_10_11",20.440001,20.24,20.24,171200,"High",20.700001
"146","2010_10_11",20.440001,20.24,20.24,171200,"Low",20.07
"147","2010_10_12",20.200001,20.24,20.24,244000,"High",20.280001
"148","2010_10_12",20.200001,20.24,20.24,244000,"Low",20.030001
"149","2010_10_13",20.639999,20.540001,20.540001,318200,"High",20.85
"150","2010_10_13",20.639999,20.540001,20.540001,318200,"Low",20.360001
"151","2010_10_14",21,20.75,20.75,294800,"High",21.030001
"152","2010_10_14",21,20.75,20.75,294800,"Low",20.4
"153","2010_10_15",20.889999,20.540001,20.540001,284700,"High",20.9
"154","2010_10_15",20.889999,20.540001,20.540001,284700,"Low",20.25
"155","2010_10_18",20.52,20.23,20.23,162800,"High",20.639999
"156","2010_10_18",20.52,20.23,20.23,162800,"Low",20.219999
"157","2010_10_19",20.200001,20.049999,20.049999,245200,"High",20.41
"158","2010_10_19",20.200001,20.049999,20.049999,245200,"Low",20
"159","2010_10_20",20.16,20.65,20.65,312500,"High",20.690001
"160","2010_10_20",20.16,20.65,20.65,312500,"Low",20.040001
"161","2010_10_21",20.610001,20.75,20.75,417100,"High",20.950001
"162","2010_10_21",20.610001,20.75,20.75,417100,"Low",20.450001
"163","2010_10_22",20.68,20.719999,20.719999,161100,"High",20.93
"164","2010_10_22",20.68,20.719999,20.719999,161100,"Low",20.549999
"165","2010_10_25",20.940001,20.85,20.85,118500,"High",20.98
"166","2010_10_25",20.940001,20.85,20.85,118500,"Low",20.73
"167","2010_10_26",20.799999,21.360001,21.360001,660900,"High",21.870001
"168","2010_10_26",20.799999,21.360001,21.360001,660900,"Low",20.51
"169","2010_10_27",21.25,21,21,356500,"High",21.379999
"170","2010_10_27",21.25,21,21,356500,"Low",20.65
"171","2010_10_28",21.389999,21.190001,21.190001,224200,"High",21.5
"172","2010_10_28",21.389999,21.190001,21.190001,224200,"Low",20.959999
"173","2010_10_29",21.139999,21.84,21.84,280600,"High",21.85
"174","2010_10_29",21.139999,21.84,21.84,280600,"Low",21.049999
"175","2010_11_1",21.940001,21.41,21.41,455800,"High",22.75
"176","2010_11_1",21.940001,21.41,21.41,455800,"Low",21.309999
"177","2010_11_2",21.68,21.25,21.25,322500,"High",21.879999
"178","2010_11_2",21.68,21.25,21.25,322500,"Low",21.049999
